"iWine","Type","Color","Category","Size","Quantity","Vintage","Wine","Locale","Producer","Varietal","BeginConsume","EndConsume","CScore"
"4268943","Red","Red","Dry","750ml","2","2020","Bodegas AAlto Ribera del Duero AAlto","Spain, Castilla y León, Ribera del Duero","Bodegas AAlto","Tempranillo","2035","2080","91.7884615384615"
"4557662","Red","Red","Dry","750ml","1","2019","Bodegas y Viñedos Alión Ribera del Duero","Spain, Castilla y León, Ribera del Duero","Bodegas y Viñedos Alión","Tinto Fino","2025","2037","93"
"5010042","Red","Red","Dry","750ml","2","2020","Altesino Brunello di Montalcino Montosoli","Italy, Tuscany, Montalcino, Brunello di Montalcino","Altesino","Sangiovese","2028","2041","94.2"
"4589250","Red","Red","Dry","750ml","1","2019","Animo Cabernet Sauvignon","USA, California, Napa Valley","Animo","Cabernet Sauvignon","2025","2033","90"
"4839364","White - Sweet/Dessert","White","Sweet/Dessert","375ml","1","1001","Anselmann Ortega Eiswein","Germany, Pfalz","Anselmann","Ortega","9999","9999",""
"4361214","Red","Red","Dry","750ml","1","2021","Antinori Tignanello","Italy, Tuscany, Toscana IGT","Antinori","SuperTuscan Blend","2027","2044","93.6760563380282"
"3528623","Red","Red","Dry","750ml","2","2013","Arcanum Toscana IGT","Italy, Tuscany, Toscana IGT","Arcanum","Cabernet Franc","2020","2032","93"
"4593874","Red","Red","Dry","750ml","2","2020","Tenuta Argentiera Bolgheri Superiore","Italy, Tuscany, Bolgheri, Bolgheri Superiore","Tenuta Argentiera","SuperTuscan Blend","2025","2039","93.6666666666667"
"2656147","Red","Red","Dry","750ml","1","2016","Château d'Armailhac","France, Bordeaux, Médoc, Pauillac","Château d'Armailhac","Red Bordeaux Blend","2024","2039","91.7368421052632"
"5499788","Red","Red","Dry","750ml","1","2020","ATM Vineyards Cabernet Sauvignon Diamond & Key","USA, California, Napa Valley, St. Helena","ATM Vineyards","Cabernet Sauvignon","2028","2036",""
"4802527","White","White","Dry","750ml","1","2021","Au Bon Climat Hildegard","USA, California, Central Coast, Santa Maria Valley","Au Bon Climat","White Blend","2023","2029","91.4117647058823"
"2959309","Red","Red","Dry","750ml","1","2016","Château Batailley Lions de Batailley","France, Bordeaux, Médoc, Pauillac","Château Batailley","Red Bordeaux Blend","2022","2030","89.6666666666667"
"5236879","White","White","Dry","750ml","1","2017","Domaine Baud Génération 9 Château-Chalon Grand Cru des Vins Jaunes","France, Jura, Château-Chalon","Domaine Baud Génération 9","Savagnin","2033","2060",""
"4306230","Red","Red","Dry","750ml","1","2019","Domaine Belle Crozes-Hermitage Roche Pierre","France, Rhône, Northern Rhône, Crozes-Hermitage","Domaine Belle","Syrah","2023","2036","90.6666666666667"
"1949164","Red","Red","Dry","750ml","1","2013","Bergström Pinot Noir Bergström Vineyard","USA, Oregon, Willamette Valley, Dundee Hills","Bergström","Pinot Noir","2016","2027","92"
"4603665","Red","Red","Dry","750ml","1","2017","Tenuta Greppo (Biondi-Santi) Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Tenuta Greppo (Biondi-Santi)","Sangiovese","2025","2041","92.25"
