"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","TastingDate","Defective","Rating","TastingNotes","fLikeIt","CScore"
"12776419","2590101","White","2015","Domaine du Château de Meursault Meursault 1er Cru Les Charmes-Dessus","France, Burgundy, Côte de Beaune, Meursault 1er Cru","Domaine du Château de Meursault","Chardonnay","9/17/2026","False","95","","","91.6428571428571"
"12770047","2154741","Red","2014","Château Lassègue","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château Lassègue","Red Bordeaux Blend","9/13/2026","False","90","","","91.375"
"12770023","5756922","Red","2022","Château Lynch-Moussas Cabernet Sauvignon Origine de Lynch","France, Bordeaux","Château Lynch-Moussas","Cabernet Sauvignon","9/13/2026","False","85","","","85.5"
"12768277","2610147","Red","2015","Bergström Pinot Noir Gregory Ranch","USA, Oregon, Willamette Valley, Yamhill-Carlton","Bergström","Pinot Noir","9/12/2026","False","90","","","91.8048780487805"
"12760363","578153","Red","2006","Jean-Michel Guillon Clos Vougeot","France, Burgundy, Côte de Nuits, Clos Vougeot Grand Cru","Jean-Michel Guillon","Pinot Noir","9/7/2026","True","0","Too far gone, I'm afraid","","92.1666666666667"
"12757180","2989808","White","2016","R. López de Heredia Rioja Blanco Viña Gravonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","Viura","9/6/2026","False","94","","","92.42"
"12752471","5464918","White","2024","Filipa Pato Bairrada Dinamica Bical & Arinto","Portugal, Beiras, Bairrada","Filipa Pato","White Blend","9/3/2026","False","88","","","88.8"
"12745385","341319","Red - Fortified","1980","Mas Amiel Maury Vintage","France, Languedoc Roussillon, Roussillon, Maury","Mas Amiel","Grenache","8/30/2026","False","92","","","91"
"12743078","8824","Red","1998","Château Pape Clément","France, Bordeaux, Graves, Pessac-Léognan","Château Pape Clément","Red Bordeaux Blend","8/29/2026","False","95","","","92.458064516129"
"12740719","3021457","White","2017","Pierre-Yves Colin-Morey Pernand-Vergelesses Les Combottes","France, Burgundy, Côte de Beaune, Pernand-Vergelesses","Pierre-Yves Colin-Morey","Chardonnay","8/28/2026","False","93","","","90.7878787878788"
"12740714","5775389","White - Sparkling","1001","Goutorbe-Bouillot Champagne Rétrospective 00-15","France, Champagne","Goutorbe-Bouillot","Chardonnay","8/28/2026","False","100","Perfection","","100"
"12735144","5295186","White","2023","Château le Devay Condrieu L'Annexe","France, Rhône, Northern Rhône, Condrieu","Château le Devay","Viognier","8/25/2026","False","91","","","91"
"12731223","5874994","Rosé","2025","Domaine Riffault Sancerre Cortem à bâtis Rosé","France, Loire Valley, Upper Loire, Sancerre","Domaine Riffault","Pinot Noir","8/23/2026","False","91","","","91"
"12725688","2804990","Red","2015","Hartford / Hartford Court Pinot Noir Warrior Princess Block Zena Crown Vineyard","USA, Oregon","Hartford / Hartford Court","Pinot Noir","8/20/2026","False","90","","","92.8333333333333"
"12722468","5713477","Rosé","2025","Henri Bourgeois Sancerre Rosé","France, Loire Valley, Upper Loire, Sancerre","Henri Bourgeois","Pinot Noir","8/18/2026","False","91","","","90"
"12719007","5465989","White","2024","Consorzio Produttori Vini Manduria Verdeca Alice","Italy, Puglia, Salento IGT","Consorzio Produttori Vini Manduria","Verdeca","8/16/2026","False","89","","","88.7"
"12715827","4962717","White - Sparkling","2008","Gardet Champagne Cuvée Charles Gardet Prestige","France, Champagne","Gardet","Champagne Blend","8/15/2026","False","94","","","93.2"
"12709693","4973249","Red","2023","Ridge Three Valleys","USA, California, Sonoma County","Ridge","Zinfandel Blend","8/11/2026","False","90","","","90.2151898734177"
