Item ID,Vintage,Wine Name,Format,Region,Quantity,Reserve,Condition Issue,wine_type
10864113,1997,Abadia Retuerta Rívola,750ml,"Spain, Castilla-Leon, Sardon del Duero",1,30,Light label condition issue,Red
10857760,2019,Aia Vecchia Sor Ugo,750ml,"Italy, Tuscany",5,25,Light label condition issue,Red
10863677,2015,Alain Graillot Crozes-Hermitage,750ml,"France, Rhône Valley, Northern Rhône",1,45,,Red
10863751,2017,Alain Graillot Crozes-Hermitage,1.5ltr,"France, Rhône Valley, Northern Rhône",3,90,,Red
10857145,2017,Albert Boxler Pinot Gris Sommerberg,750ml,"France, Alsace, Sommerberg",2,40,,White
10857150,2017,Albert Boxler Riesling Reserve,750ml,"France, Alsace",3,35,,White
10863772,2017,Albino Rocca Barbaresco Vigneto Brich Ronchi,750ml,"Italy, Piedmont, Barbaresco",2,50,,Red
10863775,2017,Albino Rocca Barbaresco Vigneto Brich Ronchi,750ml,"Italy, Piedmont, Barbaresco",1,50,Light label condition issue,Red
10864025,1995,Allegrini La Grola Classico Superiore,750ml,"Italy, Veneto, Valpolicella",1,15,"Base neck fill
Light label condition issue",Red
10857840,2021,Ampeleia Rosato di Ampeleia,750ml,"Italy, Tuscany",4,20,,Rose
10857847,2021,Ampeleia Rosato di Ampeleia,750ml,"Italy, Tuscany",2,20,Light label condition issue,Rose
10857769,NV,Andre Clouet Brut Nature Silver,750ml,"France, Champagne",2,35,,Sparkling
10857203,2018,Antoine Ogier Lirac Lou Caminé,750ml,"France, Rhône Valley, Southern Rhône",3,20,,Red
10863643,2015,Antoniolo Gattinara San Francesco Riserva,750ml,"Italy, Piedmont, Gattinara",2,50,,Red
10857368,2018,AR.PE.PE. Rosso di Valtellina,750ml,"Italy, Lombardy, Valtellina Rosso",1,35,,Red
10857204,2019,AR.PE.PE. Rosso di Valtellina,750ml,"Italy, Lombardy, Valtellina Rosso",1,30,,Red
10857380,2016,AR.PE.PE. Valtellina Superiore Il Pettirosso,750ml,"Italy, Lombardy, Valtellina Superiore",1,45,,Red
10857161,2017,AR.PE.PE. Valtellina Superiore Inferno Fiamme Antiche,750ml,"Italy, Lombardy, Valtellina Superiore",2,35,,Red
10863774,2014,Arianna Occhipinti Cerasuolo di Vittoria Grotte Alte Classico,750ml,"Italy, Sicily, Cerasuolo di Vittoria",3,65,,Red
10863773,2015,Arianna Occhipinti Cerasuolo di Vittoria Grotte Alte Classico,750ml,"Italy, Sicily, Cerasuolo di Vittoria",2,75,,Red
10863750,2022,Arianna Occhipinti Il Frappato,1.5ltr,"Italy, Sicily",1,80,,Red
10864045,2009,Avignonesi Rosso di Montepulciano,750ml,"Italy, Tuscany, Rosso di Montepulciano",3,20,,Red
10863678,2016,Azelia Barolo Cerretta,750ml,"Italy, Piedmont, Barolo",3,75,,Red
10863741,2021,B. Levet Côte-Rôtie,1.5ltr,"France, Rhône Valley, Northern Rhône",1,100,,Red
10863639,2021,Bitouzet-Prieur Meursault Perrières,750ml,"France, Burgundy, Côte d'Or",1,110,,White
10857782,2019,Bodegas El Nido Clio,750ml,"Spain, The Levant, Jumilla",2,45,,Red
10857703,2019,Bodegas Emilio Moro Bierzo El Zarzal Blanco,750ml,"Spain, Castilla-Leon, Bierzo",5,25,,White
10857845,2021,Bodegas Pinea Korde,750ml,"Spain, Castilla-Leon, Ribera del Duero",3,40,Light label condition issue,Red
10857846,2021,Bodegas Pinea Korde,750ml,"Spain, Castilla-Leon, Ribera del Duero",3,40,,Red
10857828,2019,Bodegas Pinea Ribera del Duero 17,750ml,"Spain, Castilla-Leon, Ribera del Duero",8,40,,Red
10857827,2019,Bodegas Pinea Ribera del Duero 17,750ml,"Spain, Castilla-Leon, Ribera del Duero",1,40,Light label condition issue,Red
10863743,2015,Bois de Boursan Chateauneuf du Pape Cuvee des Felix Selection Jean-Paul Versino,1.5ltr,"France, Rhône Valley, Southern Rhône",2,110,,Red
10857747,NV,Bollinger B13,750ml,"France, Champagne",1,100,,Sparkling
10857695,2020,Brendan Stater-West Saumur Rouge,750ml,"France, Loire Valley, Saumur",2,20,Light label condition issue,Red
10857722,2022,Brendan Stater-West Saumur Rouge,750ml,"France, Loire Valley, Saumur",11,20,,Red
10873045,2018,Brotte Vacqueyras Bouvencourt,750ml,"France, Rhône Valley, Southern Rhône",1,25,,Red
10863724,2022,Bruno Clair Marsannay Les Longeroies,750ml,"France, Burgundy, Côte d'Or",2,65,,Red
10857244,2014,Burlotto Barolo,750ml,"Italy, Piedmont, Barolo",1,70,,Red
10857386,2022,Burlotto Barolo,750ml,"Italy, Piedmont, Barolo",1,75,Light label condition issue,Red
10857164,2013,Burlotto Barolo Acclivi,750ml,"Italy, Piedmont, Barolo",1,140,,Red
10857834,2016,Ca' La Bionda Amarone della Valpolicella Classico Vigneti di Ravazzol,750ml,"Italy, Veneto, Amarone della Valpolicella",1,60,Light label condition issue,Red
10858136,2015,Castello Banfi Brunello di Montalcino,1.5ltr,"Italy, Tuscany, Brunello di Montalcino",1,80,,Red
10858074,2012,Castello Banfi Brunello di Montalcino Poggio all'Oro Riserva,750ml,"Italy, Tuscany, Brunello di Montalcino",4,100,,Red
10858281,2014,Castello Banfi Summus,750ml,"Italy, Tuscany",1,35,,Red
10858280,2016,Castello Banfi Summus,750ml,"Italy, Tuscany",1,35,,Red
10857741,2016,Cecchi Val delle Rose Maremma Toscana Aurelio,750ml,"Italy, Tuscany, Maremma Toscana",3,25,,Rose
10857777,2017,Cecchi Val delle Rose Maremma Toscana Aurelio,750ml,"Italy, Tuscany, Maremma Toscana",1,25,Light label condition issue,Rose
10864163,2004,Ceretto Barbaresco Bricco Asili Bernardot,750ml,"Italy, Piedmont, Barbaresco",5,75,,Red
10857880,1998,Ceretto Barolo Bricco Rocche,750ml,"Italy, Piedmont, Barolo",2,95,"Base neck fill
Light label condition issue",Red
10863728,2015,Chandon de Briailles Pernand-Vergelesses Ile des Vergelesses,750ml,"France, Burgundy, Côte d'Or",1,60,,Red
10857670,NV,Charles Heidsieck Brut Réserve,750ml,"France, Champagne",6,65,,Sparkling
10864418,2013,Charles Van Canneyt Bourgogne Rouge,750ml,"France, Burgundy, Bourgogne",55,25,,Red
10857839,2021,Château Bellevue,750ml,"France, Bordeaux, St.-Émilion",2,40,,Red
10864357,1982,Château Branaire-Ducru,750ml,"France, Bordeaux, St.-Julien",1,135,"Light capsule condition issue
Very top shoulder fill
Label condition issue",Red
10866118,2021,Château Branaire-Ducru,1.5ltr,"France, Bordeaux, St.-Julien",2,150,,Red
10863736,2019,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",1,115,,Red
10864352,1983,Château Canon,750ml,"France, Bordeaux, St.-Émilion",1,100,"Light capsule condition issue
Light label condition issue",Red
10857913,2017,Château Cantemerle,750ml,"France, Bordeaux, Haut-Médoc",2,35,,Red
10857930,2022,Château Cantenac-Brown,750ml,"France, Bordeaux, Margaux",1,55,,Red
10864524,2005,Château Carignan Cuvee Prima,6.0ltr,"France, Bordeaux",1,150,,Red
10857708,2019,Château Climens Asphodele,750ml,"France, Bordeaux",1,35,Light label condition issue,Red
10857709,2019,Château Climens Asphodele,750ml,"France, Bordeaux",1,35,,Red
10864379,1997,Château d'Armailhac,750ml,"France, Bordeaux, Pauillac",1,60,,Red
10858006,2015,Château Dassault,750ml,"France, Bordeaux, St.-Émilion",4,40,,Red
10858005,2016,Château Dassault,750ml,"France, Bordeaux, St.-Émilion",1,40,,Red
10857791,2004,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,95,Light label condition issue,Red
10857756,2006,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",2,80,Light label condition issue,Red
10863655,2015,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",2,115,Light label condition issue,Red
10863656,2015,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,115,,Red
10863657,2016,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",3,135,,Red
10863686,2014,Chateau de La Tour Clos Vougeot,750ml,"France, Burgundy, Côte d'Or",2,140,,Red
10864494,1971,Château De Malle,750ml,"France, Bordeaux, Sauternes",1,70,"Light capsule condition issue
Label condition issue",Red
10863654,2014,Chateau des Tours Côtes du Rhône Reserve,750ml,"France, Rhône Valley, Southern Rhône",3,120,,Red
10863433,1996,Château du Moulin Noir,750ml,"France, Bordeaux, Lussac-St.-Emilion",1,20,,Red
10864404,2000,Château Faugeres,750ml,"France, Bordeaux, St.-Émilion",1,55,,Red
10857929,2015,Château Ferriere,750ml,"France, Bordeaux, Margaux",1,45,,Red
10857912,2014,Château Fleur Cardinale,750ml,"France, Bordeaux, St.-Émilion",2,55,,Red
10863428,1996,Château Gloria,750ml,"France, Bordeaux, St.-Julien",1,65,Light label condition issue,Red
10857941,2022,Château Gloria,750ml,"France, Bordeaux, St.-Julien",10,50,,Red
10864515,1989,Château Grand-Mayne,750ml,"France, Bordeaux, St.-Émilion",9,75,"Capsule condition issue
Light label condition issue",Red
10864516,1989,Château Grand-Mayne,750ml,"France, Bordeaux, St.-Émilion",3,75,Capsule condition issue,Red
10857017,2015,Château Grand-Mayne,750ml,"France, Bordeaux, St.-Émilion",1,55,,Red
10863620,2016,Château Grand-Puy-Lacoste,750ml,"France, Bordeaux, Pauillac",3,95,,Red
10857783,2010,Château La Gaffeliere,750ml,"France, Bordeaux, St.-Émilion",1,85,"Light capsule condition issue
Light label condition issue",Red
10857855,2014,Château La Gaffeliere,750ml,"France, Bordeaux, St.-Émilion",2,55,,Red
10857856,2014,Château La Gaffeliere,750ml,"France, Bordeaux, St.-Émilion",1,55,Light label condition issue,Red
10864441,1988,Château La Lagune,750ml,"France, Bordeaux, Haut-Médoc",5,85,Light label condition issue,Red
10864442,1988,Château La Lagune,750ml,"France, Bordeaux, Haut-Médoc",1,85,"Top shoulder fill
Light label condition issue",Red
10858114,2016,Château LaGrange,750ml,"France, Bordeaux, St.-Julien",3,70,,Red
10858309,2022,Château Lalande,750ml,"France, Bordeaux, St.-Julien",2,25,,Red
10864402,1990,Château Larroque,750ml,"France, Bordeaux",1,55,,Red
10864451,1966,Château L'Arrosee,750ml,"France, Bordeaux, St.-Émilion",1,115,"Light capsule condition issue
Top shoulder fill
Light label condition issue",Red
10864381,2005,Château Lascombes,750ml,"France, Bordeaux, Margaux",2,90,,Red
10857012,2006,Château Lascombes,750ml,"France, Bordeaux, Margaux",1,75,,Red
10864399,1998,Château Leoville-Barton,750ml,"France, Bordeaux, St.-Julien",1,95,,Red
10863645,2015,Château Leoville-Barton,750ml,"France, Bordeaux, St.-Julien",1,95,,Red
10864080,2019,Château Leoville-Barton,750ml,"France, Bordeaux, St.-Julien",2,90,,Red
10864079,1979,Château Leoville-Las-Cases,750ml,"France, Bordeaux, St.-Julien",1,125,"Light capsule condition issue
Base neck fill
Light label condition issue",Red
10865103,2018,Château Les Grandes-Murailles,750ml,"France, Bordeaux, St.-Émilion",1,40,,Red
10858318,2021,Château Lynch-Bages,750ml,"France, Bordeaux, Pauillac",1,105,,Red
10858214,2018,Château Meyney,750ml,"France, Bordeaux, St.-Estephe",12,40,,Red
10857936,2020,Château Mongravey,750ml,"France, Bordeaux, Margaux",2,25,,Red
10857937,2021,Château Mongravey,750ml,"France, Bordeaux, Margaux",2,25,,Red
10857935,2022,Château Mongravey,750ml,"France, Bordeaux, Margaux",1,30,,Red
10863434,1994,Château Montviel,750ml,"France, Bordeaux, Pomerol",1,30,Light capsule condition issue,Red
10864495,1975,Château Nairac,750ml,"France, Bordeaux, Sauternes",1,75,"Light capsule condition issue
Label condition issue",Red
10857019,2000,Château Pavie-Macquin,750ml,"France, Bordeaux, St.-Émilion",1,135,,Red
10857797,2022,Château Pey La Tour,750ml,"France, Bordeaux",1,20,,Red
10857018,2010,Château Poujeaux,750ml,"France, Bordeaux, Haut-Médoc",1,45,,Red
10857707,2019,Chateau Simone Graves Blanc,750ml,"France, Bordeaux, Graves",3,20,Light label condition issue,White
10857823,2019,Chateau Simone Graves Blanc,750ml,"France, Bordeaux, Graves",2,20,,White
10864358,1983,Château Siran,750ml,"France, Bordeaux, Margaux",1,90,"Light capsule condition issue
Light label condition issue",Red
10864438,1989,Château Sociando-Mallet,750ml,"France, Bordeaux, Haut-Médoc",3,95,,Red
10864439,1989,Château Sociando-Mallet,750ml,"France, Bordeaux, Haut-Médoc",1,95,"Light capsule condition issue
Very top shoulder fill
Light label condition issue",Red
10864440,1989,Château Sociando-Mallet,750ml,"France, Bordeaux, Haut-Médoc",1,95,"Very top shoulder fill
Light label condition issue",Red
10858137,2012,Chateau Soleil,750ml,"France, Bordeaux, Puisseguin-St.-Emilion",7,20,,Red
10858021,1996,Château Suduiraut,750ml,"France, Bordeaux, Sauternes",1,65,"Light capsule condition issue
Light label condition issue",Red
10863721,2017,Château Suduiraut,375ml,"France, Bordeaux, Sauternes",3,35,,Red
10857793,2020,Chateau Thivin Brouilly Reverdon,750ml,"France, Beaujolais, Brouilly",4,25,Light label condition issue,Red
10857792,2020,Chateau Thivin Brouilly Reverdon,750ml,"France, Beaujolais, Brouilly",3,25,,Red
10858311,2019,Château Tournefeuille,750ml,"France, Bordeaux, Lalande de Pomerol",3,25,,Red
10858169,2020,Château Tournefeuille,750ml,"France, Bordeaux, Lalande de Pomerol",11,25,,Red
10864419,2007,Christian Moreau Chablis Valmur,750ml,"France, Burgundy, Chablis",4,85,,White
10864420,2007,Christian Moreau Chablis Valmur,750ml,"France, Burgundy, Chablis",2,85,Light label condition issue,White
10857726,2020,Claude Manciat Pouilly-Fuisse Courtelong,750ml,"France, Burgundy, Mâconnais",9,20,,White
10864226,1998,Clerico Barolo Ciabot Mentin Ginestra,750ml,"Italy, Piedmont, Barolo",1,145,Light label condition issue,Red
10864350,2008,Clos des Papes Châteauneuf-du-Pape,1.5ltr,"France, Rhône Valley, Southern Rhône",1,150,,Red
10864351,2008,Clos des Papes Châteauneuf-du-Pape,1.5ltr,"France, Rhône Valley, Southern Rhône",1,150,Light label condition issue,Red
10863688,2018,Clos Du Moulin aux Moines Pommard Clos Orgelot,750ml,"France, Burgundy, Côte d'Or",2,60,,Red
10863689,2018,Clos Du Moulin aux Moines Pommard Clos Orgelot,750ml,"France, Burgundy, Côte d'Or",1,60,Light label condition issue,Red
10857356,2022,Comando G. La Bruja Sierra de Gredos,750ml,"Spain, Vinos de Madrid",1,35,,Red
10864359,1970,Cos d'Estournel,750ml,"France, Bordeaux, St.-Estephe",2,135,"Light capsule condition issue
Very top shoulder fill
Light label condition issue",Red
10857857,2011,Cos d'Estournel,750ml,"France, Bordeaux, St.-Estephe",2,125,,Red
10857858,2014,Cos d'Estournel,750ml,"France, Bordeaux, St.-Estephe",1,140,,Red
10863436,1994,Couvent des Jacobins,750ml,"France, Bordeaux, St.-Émilion",1,50,,Red
10857692,2016,David Moreau Santenay Beaurepaire Blanc,750ml,"France, Burgundy, Côte d'Or",7,35,,White
10857683,2016,David Moreau Santenay Beaurepaire Blanc,750ml,"France, Burgundy, Côte d'Or",2,35,Light label condition issue,White
10857787,NV,Delamotte Blanc de Blancs,750ml,"France, Champagne",1,55,Light label condition issue,Sparkling
10857770,NV,Demière-Ansiot Brut Grand Cru Blanc de Blancs,750ml,"France, Champagne",3,40,Light label condition issue,Sparkling
10864238,2009,Domaine Bruno Clavelier Vosne-Romanee Les Beaux Monts Vieilles Vignes,750ml,"France, Burgundy, Côte d'Or",2,150,Light label condition issue,Red
10857743,2019,Domaine Chateau de la Selve Berty,750ml,"France, Rhône Valley, Southern Rhône",8,20,,Red
10857742,2019,Domaine Chateau de la Selve Berty,750ml,"France, Rhône Valley, Southern Rhône",6,20,Light label condition issue,Red
10863637,2022,Domaine Claude Dugat Bourgogne,750ml,"France, Burgundy",6,45,,Red
10873049,2019,Domaine De Cristia Châteauneuf-du-Pape Vieilles Vignes,750ml,"France, Rhône Valley, Southern Rhône",1,55,,Red
10863636,2016,Domaine de Fa Fleurie Roche Guillon,750ml,"France, Beaujolais, Fleurie",2,20,,Red
10865138,2023,Domaine de Terrebrune Vin de Pays du Mont Caume Terre d'Ombre,750ml,"France, Provence",12,25,,Red
10864733,2009,Domaine Denis Pere et Fils Bourgogne Aligoté,750ml,"France, Burgundy, Bourgogne",3,15,,White
10864637,2008,Domaine Denis Pere et Fils Corton-Charlemagne,750ml,"France, Burgundy, Côte d'Or",17,95,,White
10864784,2008,Domaine Denis Pere et Fils Corton-Charlemagne,750ml,"France, Burgundy, Côte d'Or",3,95,Light label condition issue,White
10864604,2009,Domaine Denis Pere et Fils Corton-Charlemagne,750ml,"France, Burgundy, Côte d'Or",1,95,"Light capsule condition issue
Label condition issue",White
10864785,2009,Domaine Denis Pere et Fils Corton-Charlemagne,750ml,"France, Burgundy, Côte d'Or",1,95,Light label condition issue,White
10864539,2009,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,750ml,"France, Burgundy, Côte d'Or",18,35,,White
10864538,2009,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,750ml,"France, Burgundy, Côte d'Or",4,35,Light label condition issue,White
10864686,2009,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,750ml,"France, Burgundy, Côte d'Or",1,35,"Light capsule condition issue
Heavy label condition issue",White
10864687,2009,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,750ml,"France, Burgundy, Côte d'Or",1,35,"Light capsule condition issue
Label condition issue",White
10864708,2009,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,750ml,"France, Burgundy, Côte d'Or",1,35,Light capsule condition issue,White
10864635,2009,Domaine Denis Pere et Fils Pernand-Vergelesses,750ml,"France, Burgundy, Côte d'Or",19,30,,Red
10864636,2009,Domaine Denis Pere et Fils Pernand-Vergelesses,750ml,"France, Burgundy, Côte d'Or",19,30,Light label condition issue,Red
10864871,2009,Domaine Denis Pere et Fils Pernand-Vergelesses,750ml,"France, Burgundy, Côte d'Or",1,30,Label condition issue,Red
10863733,2019,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,750ml,"France, Burgundy, Côte d'Or",1,130,,Red
10857814,2020,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,750ml,"France, Burgundy, Côte d'Or",4,125,,Red
10857698,2019,Domaine des Malandes Chablis Vaudésir,750ml,"France, Burgundy, Chablis",6,70,,White
10857833,2019,Domaine des Malandes Chablis Vaudésir,750ml,"France, Burgundy, Chablis",3,70,Light label condition issue,White
10857331,2016,Domaine du Collier Saumur Blanc,750ml,"France, Loire Valley, Saumur",2,50,,White
10857288,2018,Domaine du Collier Saumur Blanc,750ml,"France, Loire Valley, Saumur",1,55,,White
10857266,2019,Domaine du Collier Saumur Blanc,750ml,"France, Loire Valley, Saumur",1,55,,White
10857303,2019,Domaine du Collier Saumur Blanc,750ml,"France, Loire Valley, Saumur",1,55,Light label condition issue,White
10857197,2016,Domaine du Collier Saumur La Ripaille,750ml,"France, Loire Valley, Saumur",1,70,,White
10857409,2018,Domaine du Collier Saumur La Ripaille,750ml,"France, Loire Valley, Saumur",1,70,,White
10857268,2019,Domaine du Collier Saumur La Ripaille,750ml,"France, Loire Valley, Saumur",2,85,,White
10863671,2010,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,750ml,"France, Rhône Valley, Southern Rhône",3,135,,Red
10863700,2015,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,750ml,"France, Rhône Valley, Southern Rhône",2,65,,Red
10863745,2015,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,1.5ltr,"France, Rhône Valley, Southern Rhône",1,130,,Red
10863650,2016,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,750ml,"France, Rhône Valley, Southern Rhône",3,80,,Red
10857715,2018,Domaine du Pelican Arbois Savagnin Ouillé,750ml,"France, Jura, Arbois",4,40,,White
10857716,2018,Domaine du Pelican Arbois Savagnin Ouillé,750ml,"France, Jura, Arbois",1,40,Light label condition issue,White
10864810,2008,Domaine du Vieux Telegraphe Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,75,Light label condition issue,Red
10857724,2020,Domaine Grosbois Chinon Gabare,750ml,"France, Loire Valley, Touraine",4,25,,Red
10857723,2020,Domaine Grosbois Chinon Gabare,750ml,"France, Loire Valley, Touraine",2,25,Light label condition issue,Red
10857326,2018,Domaine Guiberteau Saumur Bizay Les Chapaudaises,750ml,"France, Loire Valley, Saumur",2,40,,White
10857291,2020,Domaine Guiberteau Saumur Blanc,750ml,"France, Loire Valley, Saumur",1,35,,White
10857187,2022,Domaine Guiberteau Saumur Blanc,750ml,"France, Loire Valley, Saumur",1,30,,White
10857329,2016,Domaine Guiberteau Saumur Blanc Brézé Clos des Carmes,750ml,"France, Loire Valley, Saumur",1,75,,White
10857332,2019,Domaine Guiberteau Saumur Blanc Les Moulins,750ml,"France, Loire Valley, Saumur",2,40,,White
10857293,2020,Domaine Guiberteau Saumur Blanc Les Moulins,750ml,"France, Loire Valley, Saumur",1,40,,White
10857328,2017,Domaine Guiberteau Saumur Brézé Blanc,750ml,"France, Loire Valley, Saumur",1,65,,White
10857564,2018,Domaine Guiberteau Saumur Brézé Blanc,750ml,"France, Loire Valley, Saumur",1,60,,White
10857412,2019,Domaine Guiberteau Saumur Brézé Blanc,750ml,"France, Loire Valley, Saumur",1,60,,White
10857184,2021,Domaine Guiberteau Saumur Brézé Blanc,750ml,"France, Loire Valley, Saumur",1,95,,White
10857330,2018,Domaine Guiberteau Saumur Clos de Guichaux,750ml,"France, Loire Valley, Saumur",1,50,,White
10857290,2019,Domaine Guiberteau Saumur Clos de Guichaux,750ml,"France, Loire Valley, Saumur",1,50,,White
10857411,2020,Domaine Guiberteau Saumur Clos de Guichaux,750ml,"France, Loire Valley, Saumur",1,50,,White
10857394,2019,Domaine Guiberteau Saumur Èpieds Les Chapaudaises,750ml,"France, Loire Valley, Saumur",1,50,,White
10857357,2020,Domaine Guiberteau Saumur Èpieds Les Chapaudaises,750ml,"France, Loire Valley, Saumur",1,45,,White
10857327,2017,Domaine Guiberteau Saumur Les Arboises,750ml,"France, Loire Valley, Saumur",2,80,,White
10857393,2018,Domaine Guiberteau Saumur Les Arboises,750ml,"France, Loire Valley, Saumur",1,65,,White
10857358,2019,Domaine Guiberteau Saumur Les Arboises,750ml,"France, Loire Valley, Saumur",1,55,,White
10857325,2018,Domaine Guiberteau Saumur Rouge,750ml,"France, Loire Valley, Saumur",2,40,,Red
10857183,2022,Domaine Guiberteau Saumur Rouge,750ml,"France, Loire Valley, Saumur",1,30,,Red
10857717,2021,Domaine Guiberteau Saumur Vin Rosé,750ml,"France, Loire Valley, Saumur",6,35,Light label condition issue,Rose
10857390,2022,Domaine Huet Vouvray Le Haut-Lieu Moelleux Premiere Trie,750ml,"France, Loire Valley, Touraine",1,35,,Dessert
10857333,2019,Domaine Huet Vouvray Le Haut-Lieu Sec,750ml,"France, Loire Valley, Vouvray",1,40,,White
10857337,2021,Domaine Huet Vouvray Le Haut-Lieu Sec,750ml,"France, Loire Valley, Touraine",1,35,,White
10857391,2003,Domaine Huet Vouvray Le Mont Moelleux,750ml,"France, Loire Valley, Vouvray",1,60,,Dessert
10857363,2018,Domaine Huet Vouvray Le Mont Moelleux Premiere Trie,750ml,"France, Loire Valley, Vouvray",2,45,Light label condition issue,Dessert
10857362,2018,Domaine Huet Vouvray Le Mont Moelleux Premiere Trie,750ml,"France, Loire Valley, Vouvray",1,45,,Dessert
10857389,2022,Domaine Huet Vouvray Le Mont Moelleux Premiere Trie,750ml,"France, Loire Valley, Touraine",1,45,,Dessert
10857264,2020,Domaine Huet Vouvray Le Mont Sec,750ml,"France, Loire Valley, Vouvray",2,35,,White
10857297,2020,Domaine J.P & J.L. Jamet Cotes du Rhone,750ml,"France, Rhône Valley, Southern Rhône",1,45,,Red
10857367,2018,Domaine Jamet Collines Rhodaniennes Syrah,750ml,"France, Rhône Valley, Southern Rhône",1,35,,Red
10857156,2020,Domaine Jamet Condrieu Vernillon,750ml,"France, Rhône Valley, Northern Rhône",1,70,,White
10857157,2021,Domaine Jamet Condrieu Vernillon,750ml,"France, Rhône Valley, Northern Rhône",1,75,,White
10857697,2019,Domaine Jean Fournier Bourgogne Blanc Origines Cuvée Speciale,750ml,"France, Burgundy, Bourgogne",10,25,,White
10857720,2019,Domaine Jean Fournier Bourgogne Blanc Origines Cuvée Speciale,750ml,"France, Burgundy, Bourgogne",1,25,Light label condition issue,White
10857680,2021,Domaine Laroche Chablis St. Martin,750ml,"France, Burgundy, Chablis",1,25,,White
10857727,2021,Domaine Laroche Chablis St. Martin,750ml,"France, Burgundy, Chablis",1,25,Light label condition issue,White
10857728,2022,Domaine Laroche Chablis St. Martin,750ml,"France, Burgundy, Chablis",1,25,,White
10857796,2017,Domaine Lejeune Pommard Les Argillières,750ml,"France, Burgundy, Côte d'Or",4,45,Light label condition issue,Red
10857773,2017,Domaine Lejeune Pommard Les Argillières,750ml,"France, Burgundy, Côte d'Or",3,45,,Red
10857778,2019,Domaine les Alexandrins Crozes-Hermitage Les Chaflans,750ml,"France, Rhône Valley, Northern Rhône",1,35,Light label condition issue,Red
10857779,2019,Domaine les Alexandrins Crozes-Hermitage Les Chaflans,750ml,"France, Rhône Valley, Northern Rhône",1,35,,Red
10858266,1998,Domaine Les Pallieres Gigondas,750ml,"France, Rhône Valley, Southern Rhône",1,30,,Red
10864707,2005,Domaine Ninot Mercurey Vieilles Vignes,750ml,"France, Burgundy, Côte Chalonnaise",1,20,,Red
10863652,2019,Domaine Parent Pommard Les Épenots,750ml,"France, Burgundy, Côte d'Or",2,100,,Red
10863653,2016,Domaine Perrot-Minot Gevrey Chambertin,750ml,"France, Burgundy, Côte d'Or",2,80,,Red
10857455,2020,Domaine Pierre Gonon Chasselas,750ml,France,2,65,,White
10857456,2018,Domaine Pierre Gonon Saint Joseph Les Oliviers Blanc,750ml,"France, Rhône Valley, Northern Rhône",1,85,,White
10857454,2020,Domaine Pierre Gonon Saint Joseph Les Oliviers Blanc,750ml,"France, Rhône Valley, Northern Rhône",2,70,,White
10863646,2016,Domaine Pierre Gonon Saint-Joseph,750ml,"France, Rhône Valley, Northern Rhône",1,145,,Red
10863648,2018,Domaine Pierre Gonon Saint-Joseph,750ml,"France, Rhône Valley, Northern Rhône",3,120,,Red
10864593,1996,Domaine René Monnier Meursault Le Limozin,750ml,"France, Burgundy, Côte d'Or",1,55,Light label condition issue,White
10857736,2022,Domaine Richard Rottiers Moulin-a-Vent Champ de Cour,750ml,"France, Beaujolais, Moulin-a-Vent",10,25,,Red
